Wall time,Step,Value
1689308412.8263104,996,748.0
1689308417.098376,3068,800.5999755859375
1689308423.9094362,6308,794.7647094726562
1689308425.8012965,7236,810.4359130859375
1689308426.1114075,7392,810.4359130859375
1689308430.082178,9232,791.8431396484375
1689308430.2956307,9344,791.8431396484375
1689308431.4950297,9928,779.6363525390625
1689308432.681325,10464,782.1724243164062
1689308434.4392078,11288,785.1428833007812
1689308435.6472151,11856,775.3582153320312
1689308437.806968,12904,774.2222290039062
1689308440.6952455,14272,769.7283935546875
1689308441.7166274,14776,774.9404907226562
1689308443.0111275,15436,771.31396484375
1689308446.991572,17284,774.7755126953125
1689308448.0149326,17744,771.0700073242188
1689308448.2103226,17836,772.9600219726562
1689308448.7027266,18052,770.22998046875
1689308449.214197,18280,763.469970703125
1689308453.2149246,20180,753.25
1689308454.2385757,20676,749.25
1689308456.7846916,21852,736.1400146484375
1689308457.590864,22240,737.9299926757812
1689308458.0823188,22480,738.219970703125
1689308458.6970875,22792,733.5399780273438
1689308461.090481,23948,738.8200073242188
1689308462.113544,24432,736.2000122070312
1689308466.0122335,26232,732.6500244140625
1689308469.5571444,27904,728.6400146484375
1689308470.1314137,28172,728.7100219726562
1689308472.3571723,29256,731.989990234375
1689308476.1115687,31016,715.5900268554688
1689308481.0341647,33400,716.1300048828125
1689308481.32588,33544,716.280029296875
1689308485.553708,35588,748.4500122070312
1689308485.8523076,35736,741.52001953125
1689308489.322313,37364,749.3800048828125
1689308490.0469377,37732,749.5599975585938
1689308491.9611464,38660,741.77001953125
1689308492.7681625,39028,740.780029296875
1689308494.323608,39772,748.4600219726562
1689308495.8606215,40512,735.8900146484375
1689308499.325778,42012,742.9000244140625
1689308501.9297853,43076,739.9199829101562
1689308502.9159129,43508,742.7000122070312
1689308503.702292,43860,736.280029296875
1689308510.5750248,47072,750.260009765625
1689308510.781222,47172,750.260009765625
1689308513.9409451,48752,753.7000122070312
1689308515.78805,49612,762.780029296875
1689308516.1407661,49800,762.780029296875
1689308516.38989,49932,762.780029296875
1689308519.7450752,51524,738.0599975585938
1689308521.81818,52468,729.8499755859375
1689308522.7067394,52852,721.27001953125
1689308523.265302,53124,721.27001953125
1689308526.5625365,54456,716.1699829101562
1689308527.218217,54740,718.2899780273438
1689308530.9313323,56332,720.72998046875
1689308532.5731287,57108,721.3300170898438
1689308536.7900372,59096,732.4099731445312
1689308537.074695,59224,734.280029296875
1689308537.579807,59484,731.1599731445312
1689308539.3115728,60308,734.9600219726562
1689308543.037721,62052,708.1799926757812
1689308544.333747,62628,710.780029296875
1689308546.8086617,63660,711.5700073242188
1689308547.344625,63908,709.9600219726562
1689308549.0476148,64620,717.5399780273438
1689308549.3516052,64744,714.280029296875
1689308551.025199,65472,717.77001953125
1689308557.3690653,68312,707.4400024414062
1689308557.883905,68580,707.4400024414062
1689308558.2402685,68764,705.530029296875
1689308558.5842838,68928,707.280029296875
1689308559.8870049,69516,713.77001953125
1689308560.2651818,69692,720.97998046875
1689308563.9380336,71352,718.0599975585938
1689308564.3134105,71536,709.1300048828125
1689308564.7098742,71720,715.8599853515625
1689308565.149908,71936,711.4099731445312
1689308565.644904,72168,711.4099731445312
1689308566.6151645,72620,708.6300048828125
1689308567.1698816,72880,700.5599975585938
1689308569.7018619,74076,719.010009765625
1689308570.8021235,74620,721.969970703125
1689308572.362352,75352,716.260009765625
1689308572.9841256,75648,721.5900268554688
1689308574.3560824,76256,718.3400268554688
1689308579.0709114,78376,731.469970703125
1689308580.710503,79064,730.3099975585938
1689308581.8619218,79576,730.7000122070312
1689308582.304972,79780,730.7000122070312
1689308587.026848,81832,715.02001953125
1689308589.3804436,82844,719.510009765625
