Wall time,Step,Value
1689308412.8263624,996,1.5
1689308417.0984378,3068,1.7999999523162842
1689308423.9094958,6308,1.7647058963775635
1689308425.8013482,7236,1.8717948198318481
1689308426.1114771,7392,1.8717948198318481
1689308430.0822413,9232,1.7450979948043823
1689308430.2956922,9344,1.7450979948043823
1689308431.495102,9928,1.6727272272109985
1689308432.681385,10464,1.6896551847457886
1689308434.4392743,11288,1.6984126567840576
1689308435.6472785,11856,1.6268656253814697
1689308437.8070397,12904,1.6111111640930176
1689308440.6952965,14272,1.5679012537002563
1689308441.7166934,14776,1.5952380895614624
1689308443.0112033,15436,1.5697674751281738
1689308446.991632,17284,1.59183669090271
1689308448.0149832,17744,1.559999942779541
1689308448.2103815,17836,1.5700000524520874
1689308448.7027862,18052,1.5499999523162842
1689308449.2142487,18280,1.5099999904632568
1689308453.2149868,20180,1.4299999475479126
1689308454.2386343,20676,1.409999966621399
1689308456.784757,21852,1.3200000524520874
1689308457.5909274,22240,1.3300000429153442
1689308458.0823889,22480,1.3300000429153442
1689308458.6971533,22792,1.2999999523162842
1689308461.090543,23948,1.340000033378601
1689308462.113615,24432,1.3300000429153442
1689308466.0122948,26232,1.2899999618530273
1689308469.5571997,27904,1.2699999809265137
1689308470.1314793,28172,1.2699999809265137
1689308472.3572335,29256,1.2999999523162842
1689308476.1116707,31016,1.2100000381469727
1689308481.0342321,33400,1.25
1689308481.325932,33544,1.25
1689308485.5537589,35588,1.4700000286102295
1689308485.8523564,35736,1.4299999475479126
1689308489.322373,37364,1.4900000095367432
1689308490.0469887,37732,1.4900000095367432
1689308491.9612114,38660,1.4500000476837158
1689308492.7682629,39028,1.4500000476837158
1689308494.3236685,39772,1.5
1689308495.8606784,40512,1.409999966621399
1689308499.325842,42012,1.440000057220459
1689308501.9298713,43076,1.4299999475479126
1689308502.9159744,43508,1.440000057220459
1689308503.7024217,43860,1.399999976158142
1689308510.575097,47072,1.5
1689308510.7812932,47172,1.5
1689308513.9410105,48752,1.5199999809265137
1689308515.7881298,49612,1.5700000524520874
1689308516.140845,49800,1.5700000524520874
1689308516.3899612,49932,1.5700000524520874
1689308519.7451348,51524,1.3700000047683716
1689308521.8182666,52468,1.3200000524520874
1689308522.7068117,52852,1.2699999809265137
1689308523.2653763,53124,1.2699999809265137
1689308526.5625935,54456,1.2300000190734863
1689308527.2183223,54740,1.25
1689308530.931393,56332,1.2400000095367432
1689308532.573193,57108,1.2599999904632568
1689308536.7900906,59096,1.3300000429153442
1689308537.0747604,59224,1.340000033378601
1689308537.5798705,59484,1.3200000524520874
1689308539.3116374,60308,1.3700000047683716
1689308543.037796,62052,1.2000000476837158
1689308544.333837,62628,1.2200000286102295
1689308546.8087323,63660,1.2100000381469727
1689308547.3447201,63908,1.2100000381469727
1689308549.0476694,64620,1.2599999904632568
